book_id,mood,writing_style,difficulty_level,reading_level,target_audience,learning_outcomes,skills_covered,recommendation_keywords,fantasy_elements,scifi_elements,themes,keywords,tags,subjects
73,Educational,Narrative,Intermediate,Adult,General Readers,,,book; children; generosity; giving; growing up; love; nature; picture; sacrifice; tree,,,generosity; growing up; love; nature; sacrifice,book; children; generosity; giving; growing up; love; nature; picture; sacrifice; tree,Educational; generosity; growing up; love; nature; sacrifice,generosity; growing up; love; nature; sacrifice
74,Educational,Narrative,Intermediate,Adult,General Readers,,,children; diary; family; friendship; grade; growing up; humor; middle; school; wimpy,,,family; friendship; growing up; humor; school,children; diary; family; friendship; grade; growing up; humor; middle; school; wimpy,Educational; family; friendship; growing up; humor; school,family; friendship; growing up; humor; school
75,Educational,Narrative,Intermediate,Adult,General Readers,,,adventure; children; chronicles; fantasy; good vs evil; lion; magic; narnia; sacrifice; siblings; wardrobe; witch,,,adventure; good vs evil; magic; sacrifice; siblings,adventure; children; chronicles; fantasy; good vs evil; lion; magic; narnia; sacrifice; siblings; wardrobe; witch,Educational; adventure; good vs evil; magic; sacrifice; siblings,adventure; good vs evil; magic; sacrifice; siblings
76,Educational; Inspirational,Conversational; Technical,Intermediate,Professional,Professionals; Students,Leadership; Career; Problem Solving,Entrepreneurship; Technology,business; entrepreneurship; innovation; monopoly; startups; technology; zero,,,entrepreneurship; innovation; monopoly; startups; technology,business; entrepreneurship; innovation; monopoly; startups; technology; zero,Educational; Inspirational; entrepreneurship; innovation; monopoly; startups; technology,entrepreneurship; innovation; monopoly; startups; technology
77,Educational; Inspirational,Conversational; Technical,Intermediate,Professional,Professionals; Students,Leadership; Career; Problem Solving,Management,business; business strategy; discipline; good; great; growth; leadership; management,,,business strategy; discipline; growth; leadership; management,business; business strategy; discipline; good; great; growth; leadership; management,Educational; Inspirational; business strategy; discipline; growth; leadership; management,business strategy; discipline; growth; leadership; management
78,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; coming-of-age; divergent; dystopia; dystopian; factions; identity; rebellion; young,,,coming-of-age; dystopia; factions; identity; rebellion,adult; coming-of-age; divergent; dystopia; dystopian; factions; identity; rebellion; young,Emotional; Heartwarming; coming-of-age; dystopia; factions; identity; rebellion,coming-of-age; dystopia; factions; identity; rebellion
79,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; crime; crows; fantasy; found family; heist; loyalty; magic; young,,,crime; found family; heist; loyalty; magic,adult; crime; crows; fantasy; found family; heist; loyalty; magic; young,Emotional; Heartwarming; crime; found family; heist; loyalty; magic,crime; found family; heist; loyalty; magic
80,Educational,Narrative,Intermediate,Adult,General Readers,,,acid; cooking; culinary; culinary technique; flavor; food science; heat; recipes; reference; salt,,,cooking; culinary technique; flavor; food science; recipes,acid; cooking; culinary; culinary technique; flavor; food science; heat; recipes; reference; salt,Educational; cooking; culinary technique; flavor; food science; recipes,cooking; culinary technique; flavor; food science; recipes
81,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,,adventure; idealism; into; isolation; nonfiction; story; true; true story; wild; wilderness,,,adventure; idealism; isolation; true story; wilderness,adventure; idealism; into; isolation; nonfiction; story; true; true story; wild; wilderness,Educational; Inspirational; adventure; idealism; isolation; true story; wilderness,adventure; idealism; isolation; true story; wilderness
82,Educational,Narrative,Intermediate,Adult,General Readers,,,family; graphic; historical; holocaust; maus; memoir; novel; trauma; world war ii,,,Holocaust; World War II; family; memoir; trauma,family; graphic; historical; holocaust; maus; memoir; novel; trauma; world war ii,Educational; Holocaust; World War II; family; memoir; trauma,Holocaust; World War II; family; memoir; trauma
83,Educational,Narrative,Intermediate,Adult,General Readers,,,cold war; conspiracy; deconstruction; graphic; morality; novel; superhero; superheroes; vigilantism; watchmen,,,Cold War; conspiracy; morality; superheroes; vigilantism,cold war; conspiracy; deconstruction; graphic; morality; novel; superhero; superheroes; vigilantism; watchmen,Cold War; Educational; conspiracy; morality; superheroes; vigilantism,Cold War; conspiracy; morality; superheroes; vigilantism
84,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,africa; african; apart; classics; colonialism; fall; identity; literature; masculinity; things; tradition,,,Africa; colonialism; identity; masculinity; tradition,africa; african; apart; classics; colonialism; fall; identity; literature; masculinity; things; tradition,Africa; Dark; Thought-provoking; colonialism; identity; masculinity; tradition,Africa; colonialism; identity; masculinity; tradition
